Event,Tm,J1,J2,St,S,n,Q
J2,29.86346258156265,29.97263418120984,35.58904964412929,30.794617153219924,1,13,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1"
J2,30.128251779196802,29.97263418120984,44.11179324807081,30.794617153219924,1,14,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2"
E,30.794617153219924,29.97263418120984,44.11179324807081,30.794617153219924,1,15,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2"
J1,32.122673312025164,33.8254569640092,44.11179324807081,33.10955738428252,1,14,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2"
E,33.10955738428252,33.8254569640092,44.11179324807081,33.10955738428252,1,15,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1"
J1,33.316673242351655,33.41743270359115,44.11179324807081,35.44630625003846,1,14,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1"
J1,34.62121156464209,35.35988070348119,44.11179324807081,35.44630625003846,1,15,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1"
E,35.44630625003846,35.35988070348119,44.11179324807081,35.44630625003846,1,16,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1"
J2,36.79889594612709,35.35988070348119,39.63339818395423,36.917276713095404,1,15,"J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1"
E,36.917276713095404,35.35988070348119,39.63339818395423,36.917276713095404,1,16,"J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2"
J1,37.23664401608399,38.659310027203475,39.63339818395423,39.064965477988906,1,15,"J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2"
E,39.064965477988906,38.659310027203475,39.63339818395423,39.064965477988906,1,16,"J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1"
J1,40.772754889050184,41.77874317495133,39.63339818395423,41.20277916715823,1,15,"J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1"
J2,40.85713247623864,41.77874317495133,45.65545183319229,41.20277916715823,1,16,"J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1"
E,41.20277916715823,41.77874317495133,45.65545183319229,41.20277916715823,1,17,"J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J1, J2, J1, J1, J2"
